,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Myanmar,Myanmar,LOC,-0.02245233,0.10328731,de,507,4069500-1,1327865,A,21.0,96.0,ASIA,Myanmar,SAS
Erde,Erde,LOC,-0.05327181,0.03859060,de,298,1135962553,6295630,L,0.0,0.0,ATLANTIC,,EAO
Erdbeben,Erdbeben,LOC,0.01995074,0.06650246,de,203,,0,,,,,,
Istanbul,Istanbul,LOC,0.10107527,0.07078853,de,186,4088772-8,745044,P,41.01384,28.94966,EUROPE-AFRICA,Turkey,MED
Bangkok,Bangkok,LOC,-0.04892473,0.03333333,de,186,4004432-4,1609350,P,13.75398,100.50144,ASIA,Thailand,SEA
Thailand,Thailand,LOC,0.01922222,0.10296296,de,180,4078228-1,1605651,A,15.5,101.0,ASIA,Thailand,SEA
Kamtschatka,Kamtschatka,LOC,0.06847390,0.05421687,de,166,4029453-5,2125072,A,55.0,159.0,ASIA,Russia,RFE
Erdbeben in Myanmar,Erdbeben in Myanmar,LOC,-0.24046620,0.19125874,de,143,,0,,,,,,
Türkei,Türkei,LOC,0.05160494,0.07407407,de,135,4061163-2,298795,A,39.0,35.0,EUROPE-AFRICA,Turkey,MED
Erdbeben in Afghanistan,Erdbeben in Afghanistan,LOC,-0.13761194,0.28134328,de,134,,0,,,,,,
Südostasien,Südostasien,LOC,0.12425743,0.05115512,de,101,4058448-3,7729896,L,6.83917,116.45508,ASIA,,SEA
Erdbeben in Südostasien,Erdbeben in Südostasien,LOC,-0.20449438,0.12359551,de,89,,0,,,,,,
Afghanistan,Afghanistan,LOC,-0.05681818,0.14867424,de,88,4000687-6,1149361,A,33.0,66.0,ASIA,Afghanistan,WCA
Philippinen,Philippinen,LOC,0.06395349,0.01162791,de,86,4045771-0,1694008,A,13.40882,122.56155,ASIA,Philippines,SEA
Santorini,Santorini,LOC,0.00569106,0.02743902,de,82,,252919,T,36.40572,25.45682,EUROPE-AFRICA,Greece,MED
Neapel,Neapel,LOC,0.09506173,0.00000000,de,81,4041476-0,3172394,P,40.85216,14.26811,EUROPE-AFRICA,Italy,MED
Russlands,Russlands,LOC,0.05466667,0.10666667,de,75,,6251669,S,-45.84839,168.80008,OCEANIA,New Zealand,NZ
Afghanistans,Afghanistans,LOC,0.00733333,0.04222222,de,75,,0,,,,,,
Erdbeben der Stärke,Erdbeben der Stärke,LOC,0.18400000,0.01333333,de,75,,0,,,,,,
Japan,Japan,LOC,0.06509009,0.01351351,de,74,4028495-5,1861060,A,35.68536,139.75309,ASIA,Japan,EAS
…,…,LOC,-0.11907051,0.07852564,de,52,,0,,,,,,
Italien,Italien,LOC,0.08163265,0.05102041,de,49,4027833-5,3175395,A,42.83333,12.83333,EUROPE-AFRICA,Italy,MED
Russland,Russland,LOC,0.02606383,0.00000000,de,47,4076899-5,2017370,A,60.0,100.0,ASIA,Russia,ESB
Tibet,Tibet,LOC,0.11395349,0.02325581,de,43,4111286-6,1280737,P,29.65,91.1,ASIA,China,TIB
Griechenland,Griechenland,LOC,0.12380952,0.00000000,de,42,4022047-3,390903,A,39.0,22.0,EUROPE-AFRICA,Greece,MED
Vanuatu,Vanuatu,LOC,0.11547619,0.00000000,de,42,4062334-8,2134431,A,-16.3333,167.5,PACIFIC,Vanuatu,SPO
Berlin,Berlin,LOC,0.00000000,0.02380952,de,42,4005728-8,2950159,P,52.52437,13.41053,EUROPE,Germany,WCE
Kreta,Kreta,LOC,0.29285714,0.00000000,de,35,4073791-3,6697802,A,35.15585,24.89502,EUROPE-AFRICA,Greece,MED
Bebens,Bebens,LOC,-0.09696970,0.03030303,de,33,,0,,,,,,
Hawaii,Hawaii,LOC,0.06666667,0.00000000,de,33,251184-8,5855797,A,20.78785,-156.38612,PACIFIC,United States,NPO
Erdbeben auf den Philippinen,Erdbeben auf den Philippinen,LOC,0.07070707,0.08080808,de,33,,0,,,,,,
Erdbeben in Tibet,Erdbeben in Tibet,LOC,0.09032258,0.06451613,de,31,,0,,,,,,
USA,USA,LOC,-0.19946237,0.00000000,de,31,4078704-7,6255150,L,-14.60485,-57.65625,SOUTH-AMERICA,Brazil,SAM
Ägäis,Ägäis,LOC,-0.03505747,0.05172414,de,29,4068425-8,6697808,A,36.16726,27.90603,EUROPE-AFRICA,Greece,MED
Burma,Burma,LOC,-0.12126437,0.12068966,de,29,4069500-1,1327865,A,21.0,96.0,ASIA,Myanmar,SAS
Trümmern,Trümmern,LOC,-0.15862069,0.18965517,de,29,,0,,,,,,
Südostasiens,Südostasiens,LOC,0.23333333,0.00000000,de,27,,0,,,,,,
