,phrase,label,sentiment,subjectivity,language,count
"Link
","Link
",MISC,,,de,55.89999999999996
“,“,MISC,5.35,1.5,de,29.89999999999998
Tsunami-Warnung,Tsunami-Warnung,MISC,2.947368421052632,1.0526315789473684,de,16.8
Erdbeben“,Erdbeben“,MISC,1.0,0.0,de,11.000000000000002
japanische,japanische,MISC,,,de,10.600000000000001
Taliban-Regierung,Taliban-Regierung,MISC,,,de,7.0
Sachsen,Sachsen,MISC,-0.18181818181818182,0.0,de,6.4
japanischen,japanischen,MISC,,,de,6.4
Zahl der Toten,Zahl der Toten,MISC,,,de,5.9
Erdbeben auf den Philippinen,Erdbeben auf den Philippinen,MISC,0.02280130293159609,0.06514657980456026,de,5.4
türkischen,türkischen,MISC,,,de,5.200000000000001
stern+statt,stern+statt,MISC,,,de,4.6
Erdbeben,Erdbeben,MISC,0.032015065913371034,0.0,de,4.6
stern+,stern+,MISC,,,de,4.6
griechischen,griechischen,MISC,,,de,4.6
Katastrophen“,Katastrophen“,MISC,,,de,4.5
türkische,türkische,MISC,,,de,4.0
italienischen,italienischen,MISC,,,de,4.0
Todesopfer auf mindestens 72,Todesopfer auf mindestens 72,MISC,,,de,4.0
ePaper,ePaper,MISC,,,de,3.8
Drei Jahre nach dem,Drei Jahre nach dem,MISC,,,de,3.6999999999999997
mexikanische,mexikanische,MISC,,,de,3.6999999999999997
nan,nan,MISC,1.0425531914893618,0.0,de,3.6
Capital</li><li>4,Capital</li><li>4,MISC,,,de,3.6
Oktoberfest,Oktoberfest,MISC,,,de,3.0
Philippinische,Philippinische,MISC,,,de,3.0
Trümmern,Trümmern,MISC,-0.10714285714285718,0.23809523809523814,de,3.0
s…,s…,MISC,,,de,2.9
griechische,griechische,MISC,,,de,2.9
deutscher,deutscher,MISC,,,de,2.9
sozialen,sozialen,MISC,,,de,2.9
Österreichische,Österreichische,MISC,,,de,2.8
russischen,russischen,MISC,,,de,2.8
christlichen,christlichen,MISC,,,de,2.8
ukrainischen,ukrainischen,MISC,,,de,2.8
Drei Jahre nach Erdbeben,Drei Jahre nach Erdbeben,MISC,,,de,2.8
türkischer,türkischer,MISC,,,de,2.8
Naturkatastrophe“,Naturkatastrophe“,MISC,,,de,2.8
i…,i…,MISC,,,de,2.8
Google Play Services,Google Play Services,MISC,,,de,2.8
deutsche,deutsche,MISC,,,de,2.8
Tsunami-Wellen,Tsunami-Wellen,MISC,-0.3684210526315789,0.0,de,2.8
…,…,MISC,0.0,0.0,de,2.7
Die Zahl der Toten,Die Zahl der Toten,MISC,,,de,2.6
Erd­beben,Erd­beben,MISC,,,de,2.0
verletz…,verletz…,MISC,,,de,2.0
Erdbe…,Erdbe…,MISC,,,de,2.0
Katastrophe,Katastrophe,MISC,-0.7,0.0,de,2.0
Suche nach Überlebenden,Suche nach Überlebenden,MISC,,,de,2.0
Tages,Tages,MISC,,,de,2.0
Katastrophe“,Katastrophe“,MISC,,,de,2.0
russischer,russischer,MISC,,,de,2.0
italienische,italienische,MISC,,,de,2.0
afghanische,afghanische,MISC,,,de,2.0
B…,B…,MISC,0.0,0.0,de,2.0
Todesopfer liege,Todesopfer liege,MISC,,,de,2.0
deutscher Zeit,deutscher Zeit,MISC,,,de,2.0
"Ein Erdbeben der Stärke 6,0","Ein Erdbeben der Stärke 6,0",MISC,,,de,2.0
MEZ,MEZ,MISC,,,de,1.9
Reaktor-Schutzhülle,Reaktor-Schutzhülle,MISC,,,de,1.9
Deutscher,Deutscher,MISC,,,de,1.9
Neujahrstag,Neujahrstag,MISC,,,de,1.9
Todesopfer durch Sturz bei Evakuierung,Todesopfer durch Sturz bei Evakuierung,MISC,,,de,1.9
Wohnhausbränden,Wohnhausbränden,MISC,,,de,1.9
Erdbebe…,Erdbebe…,MISC,,,de,1.9
Wear OS,Wear OS,MISC,,,de,1.9
Ortenaukreis,Ortenaukreis,MISC,0.35,0.5,de,1.9
Was Experten zur Gefahr,Was Experten zur Gefahr,MISC,,,de,1.9
Google,Google,MISC,,,de,1.9
österreichische,österreichische,MISC,,,de,1.9
Sc…,Sc…,MISC,,,de,1.9
Mittwoch-Trainings,Mittwoch-Trainings,MISC,,,de,1.9
Renovierungsarbeiten,Renovierungsarbeiten,MISC,,,de,1.9
S…,S…,MISC,0.0,0.0,de,1.9
The Big One,The Big One,MISC,,,de,1.9
indischen,indischen,MISC,,,de,1.9
v…,v…,MISC,,,de,1.9
französischen,französischen,MISC,,,de,1.9
E…,E…,MISC,,,de,1.9
Mens…,Mens…,MISC,,,de,1.9
Ep…,Ep…,MISC,,,de,1.9
GAU,GAU,MISC,,,de,1.9
g…,g…,MISC,,,de,1.9
sächsischen,sächsischen,MISC,,,de,1.9
nordtürkischer,nordtürkischer,MISC,,,de,1.9
Naturkatastrophen“,Naturkatastrophen“,MISC,,,de,1.9
österreichischen,österreichischen,MISC,,,de,1.9
deutschen,deutschen,MISC,,,de,1.9
Zeit,Zeit,MISC,,,de,1.9
philippinischen,philippinischen,MISC,,,de,1.8
Einsturzes,Einsturzes,MISC,,,de,1.8
Erdbeb…,Erdbeb…,MISC,,,de,1.8
Erdbeben auf den Philippinen“,Erdbeben auf den Philippinen“,MISC,,,de,1.8
F…,F…,MISC,,,de,1.7
Rettungskräfte bargen am Mittag,Rettungskräfte bargen am Mittag,MISC,,,de,1.7
Ze…,Ze…,MISC,,,de,1.7
süditalienische,süditalienische,MISC,,,de,1.7
mittelalterlichen,mittelalterlichen,MISC,,,de,1.6000000000000005
Femonationalistisch“,Femonationalistisch“,MISC,,,de,1.3000000000000003
rumänischer,rumänischer,MISC,,,de,1.2000000000000002
Macho-Migranten,Macho-Migranten,MISC,,,de,1.1
mittelalterlichem,mittelalterlichem,MISC,,,de,1.1
Türkische,Türkische,MISC,,,de,1.1
spanischen,spanischen,MISC,,,de,1.1
sons…,sons…,MISC,,,de,1.1
Ein Toter,Ein Toter,MISC,,,de,1.0
