,phrase,label,sentiment,subjectivity,language,count,geonames,geotype,latitude,longitude,country,ipcc
USGS,USGS,ORG,-0.06524390243902439,0.0,de,82,,,,,,
US-Erdbebenwarte,US-Erdbebenwarte,ORG,-0.06604938271604939,0.0,de,81,,,,,,
Taliban,Taliban,ORG,-0.1850877192982456,0.41228070175438597,de,38,,,,,,
Zentrum des Bebens,Zentrum des Bebens,ORG,-0.04047619047619048,0.19047619047619047,de,21,,,,,,
Bachtar,Bachtar,ORG,-0.20555555555555557,0.0,de,18,,,,,,
GFZ,GFZ,ORG,-0.115625,0.0,de,16,,,,,,
INGV,INGV,ORG,0.09333333333333332,0.0,de,15,,,,,,
Deutsche Geoforschungsinstitut,Deutsche Geoforschungsinstitut,ORG,-0.05384615384615384,0.0,de,13,,,,,,
Zentrum,Zentrum,ORG,0.025000000000000005,0.0,de,12,,,,,,
Nationale Institut für Geophysik und Vulkanologie,Nationale Institut für Geophysik und Vulkanologie,ORG,0.11666666666666665,0.0,de,12,,,,,,
Katastrophendienst Afad,Katastrophendienst Afad,ORG,-0.12727272727272726,0.0,de,11,,,,,,
GeoSphere Austria,GeoSphere Austria,ORG,-0.2,0.0,de,10,,,,,,
Schweres Erdbeben,Schweres Erdbeben,ORG,0.3111111111111111,0.0,de,9,,,,,,
WELT,WELT,ORG,0.525,0.0,de,8,,,,,,
Weltgesundheitsorganisation,Weltgesundheitsorganisation,ORG,-0.3,0.0,de,8,,,,,,
Helmholtz-Zentrum für Geoforschung,Helmholtz-Zentrum für Geoforschung,ORG,-0.11666666666666665,0.0,de,6,,,,,,
"Zentrum des Bebens der Stärke 7,6","Zentrum des Bebens der Stärke 7,6",ORG,1.0,0.0,de,6,,,,,,
Geosphere Austria,Geosphere Austria,ORG,-0.16666666666666666,0.0,de,6,,,,,,
WHO,WHO,ORG,-0.05000000000000001,0.0,de,6,,,,,,
GFZ Potsdam,GFZ Potsdam,ORG,0.27999999999999997,0.0,de,5,,,,,,
