,phrase,label,sentiment,subjectivity,language,count
Franziska Amler,Franziska Amler,PER,0.0,0.0,de,4.0
Mehr al,Mehr al,PER,0.0,1.0,de,4.0
Taliban k,Taliban k,PER,0.0,0.0,de,3.0
Ralf Étienne,Ralf Étienne,PER,-0.7142857142857143,0.0,de,2.8
Donald Trump,Donald Trump,PER,-0.3601190476190476,0.0,de,2.8
Erdbeben der Stärke,Erdbeben der Stärke,PER,0.5,0.0,de,2.8
Sabihullah Mudschahid,Sabihullah Mudschahid,PER,-0.25,1.75,de,2.0
einemr Erdbebenserie,einemr Erdbebenserie,PER,0.0,0.0,de,2.0
Bernardo Rafaelito,Bernardo Rafaelito,PER,0.0,0.0,de,2.0
Ehsanullah Ehsan,Ehsanullah Ehsan,PER,-0.21250000000000002,0.0,de,2.0
Präsidialamtschef Jermak,Präsidialamtschef Jermak,PER,0.0,0.0,de,1.9
Japans Küste,Japans Küste,PER,-0.3684210526315789,0.0,de,1.9
Alexander Schwolow,Alexander Schwolow,PER,0.5263157894736842,0.0,de,1.9
Drew McIntyre,Drew McIntyre,PER,0.0,0.0,de,1.9
Dauerläufer Nicolas Seiwald,Dauerläufer Nicolas Seiwald,PER,0.0,0.0,de,1.9
Christoph Baumgartner,Christoph Baumgartner,PER,0.0,0.0,de,1.9
Michael van Gerwen,Michael van Gerwen,PER,0.7368421052631579,0.0,de,1.9
Andrej Babis,Andrej Babis,PER,0.0,0.0,de,1.2000000000000002
Camino Kavanagh,Camino Kavanagh,PER,0.6363636363636362,0.0,de,1.1
Eva Pattis Zoja,Eva Pattis Zoja,PER,0.0,0.0,de,1.0
Mohammed Haschem,Mohammed Haschem,PER,0.0,0.0,de,1.0
Anti-Korruptionsbehörden Nabu,Anti-Korruptionsbehörden Nabu,PER,0.0,0.0,de,1.0
Anwohner sol,Anwohner sol,PER,0.0,0.0,de,1.0
Neapel  ,Neapel  ,PER,0.7,0.0,de,1.0
Raju Roka,Raju Roka,PER,0.0,0.0,de,1.0
Indrika Ra,Indrika Ra,PER,1.0,0.0,de,1.0
Pina Perrotta,Pina Perrotta,PER,0.0,0.0,de,1.0
Erdbeben Frau,Erdbeben Frau,PER,-0.7,0.0,de,1.0
Mohammed Hammad,Mohammed Hammad,PER,-0.85,0.0,de,1.0
Sapo unt,Sapo unt,PER,0.0,0.0,de,1.0
Shafi Shirzad,Shafi Shirzad,PER,-0.7,0.0,de,1.0
Samira Sayed Rahman,Samira Sayed Rahman,PER,-0.7,0.0,de,1.0
Frau Rahman,Frau Rahman,PER,0.0,0.0,de,1.0
Ernst Führich,Ernst Führich,PER,0.0,0.0,de,1.0
Charlie Kirk,Charlie Kirk,PER,-2.0,0.0,de,1.0
Thomas Kemmerich,Thomas Kemmerich,PER,0.0,0.0,de,1.0
Venezuelas Krisen,Venezuelas Krisen,PER,0.0,0.0,de,1.0
türkisblaues Meer Santorin,türkisblaues Meer Santorin,PER,0.0,0.0,de,1.0
