,Impacts,Hazard,Mitigation,Causes,Invalid
2024-12-16,0.0,0.0,0.0,0.0,1.0
2024-12-17,0.0,0.0,0.0,0.0,7.0
2024-12-18,0.0,0.0,0.0,0.0,10.0
2024-12-22,0.0,0.0,0.0,0.0,4.0
2024-12-25,0.0,0.0,0.0,0.0,2.0
2024-12-26,0.0,0.0,0.0,0.0,1.0
2024-12-29,0.0,0.0,0.0,0.0,3.0
2024-12-30,0.0,0.0,0.0,0.0,3.0
2025-01-02,0.0,0.0,0.0,0.0,2.0
2025-01-03,0.0,0.0,0.0,0.0,2.0
2025-01-07,0.0,0.0,0.0,0.0,31.0
2025-01-08,0.0,0.0,0.0,0.0,8.0
2025-01-09,0.0,0.0,0.0,0.0,2.0
2025-01-10,0.0,0.0,0.0,0.0,2.0
2025-01-12,0.0,0.0,0.0,0.0,2.0
2025-01-13,0.0,0.0,0.0,0.0,2.0
2025-01-14,0.0,0.0,0.0,0.0,1.0
2025-01-15,0.0,0.0,0.0,0.0,1.0
2025-01-16,0.0,0.0,0.0,0.0,2.0
2025-01-17,0.0,0.0,0.0,0.0,1.0
2025-01-19,0.0,0.0,0.0,0.0,1.0
2025-01-20,0.0,0.0,0.0,0.0,2.0
2025-01-21,0.0,0.0,0.0,0.0,3.0
2025-01-22,0.0,0.0,0.0,0.0,1.0
2025-01-26,0.0,0.0,0.0,0.0,1.0
2025-01-27,0.0,0.0,0.0,0.0,1.0
2025-01-29,0.0,0.0,0.0,0.0,4.0
2025-01-30,0.0,0.0,0.0,0.0,1.0
2025-02-01,0.0,0.0,0.0,0.0,8.0
2025-02-02,0.0,0.0,0.0,0.0,8.0
2025-02-03,0.0,0.0,0.0,0.0,18.0
2025-02-04,0.0,0.0,0.0,0.0,22.0
2025-02-05,0.0,0.0,0.0,0.0,18.0
2025-02-06,0.0,0.0,0.0,0.0,28.0
2025-02-07,0.0,0.0,0.0,0.0,8.0
2025-02-08,0.0,0.0,0.0,0.0,1.0
2025-02-09,0.0,0.0,0.0,0.0,12.0
2025-02-10,0.0,0.0,0.0,0.0,3.0
2025-02-11,0.0,0.0,0.0,0.0,5.0
2025-02-12,0.0,0.0,0.0,0.0,7.0
2025-02-13,0.0,0.0,0.0,0.0,1.0
2025-02-14,0.0,0.0,0.0,0.0,1.0
2025-02-15,0.0,0.0,0.0,0.0,2.0
2025-02-16,0.0,0.0,0.0,0.0,2.0
2025-02-17,0.0,0.0,0.0,0.0,4.0
2025-02-18,0.0,0.0,0.0,0.0,1.0
2025-02-19,0.0,0.0,0.0,0.0,3.0
2025-02-20,0.0,0.0,0.0,0.0,1.0
2025-02-21,0.0,0.0,0.0,0.0,2.0
2025-02-23,0.0,0.0,0.0,0.0,2.0
2025-02-24,0.0,0.0,0.0,0.0,1.0
2025-02-26,0.0,0.0,0.0,0.0,2.0
2025-02-27,0.0,0.0,0.0,0.0,1.0
2025-03-01,0.0,0.0,0.0,0.0,1.0
2025-03-03,0.0,0.0,0.0,0.0,4.0
2025-03-04,0.0,0.0,0.0,0.0,2.0
2025-03-06,0.0,0.0,0.0,0.0,1.0
2025-03-09,0.0,0.0,0.0,0.0,3.0
2025-03-10,0.0,0.0,0.0,0.0,1.0
2025-03-13,0.0,0.0,0.0,0.0,12.0
2025-03-14,0.0,0.0,0.0,0.0,4.0
2025-03-15,0.0,0.0,0.0,0.0,2.0
2025-03-16,0.0,0.0,0.0,0.0,1.0
2025-03-21,0.0,0.0,0.0,0.0,1.0
2025-03-25,0.0,0.0,0.0,0.0,4.0
2025-03-28,0.0,0.0,0.0,0.0,111.0
2025-03-29,0.0,0.0,0.0,0.0,53.0
2025-03-30,0.0,0.0,0.0,0.0,44.0
2025-03-31,0.0,0.0,0.0,0.0,37.0
2025-04-01,0.0,0.0,0.0,0.0,25.0
2025-04-02,0.0,0.0,0.0,0.0,34.0
2025-04-03,0.0,0.0,0.0,0.0,12.0
2025-04-04,0.0,0.0,0.0,0.0,13.0
2025-04-05,0.0,0.0,0.0,0.0,9.0
2025-04-06,0.0,0.0,0.0,0.0,5.0
2025-04-07,0.0,0.0,0.0,0.0,13.0
2025-04-08,0.0,0.0,0.0,0.0,1.0
2025-04-09,0.0,0.0,0.0,0.0,6.0
2025-04-10,0.0,0.0,0.0,0.0,1.0
2025-04-11,0.0,0.0,0.0,0.0,2.0
2025-04-13,0.0,0.0,0.0,0.0,4.0
2025-04-14,0.0,0.0,0.0,0.0,4.0
2025-04-16,0.0,0.0,0.0,0.0,1.0
2025-04-17,0.0,0.0,0.0,0.0,1.0
2025-04-18,0.0,0.0,0.0,0.0,1.0
2025-04-19,0.0,0.0,0.0,0.0,2.0
2025-04-20,0.0,0.0,0.0,0.0,4.0
2025-04-21,0.0,0.0,0.0,0.0,1.0
2025-04-22,0.0,0.0,0.0,0.0,2.0
2025-04-23,0.0,0.0,0.0,0.0,42.0
2025-04-24,0.0,0.0,0.0,0.0,24.0
2025-04-25,0.0,0.0,0.0,0.0,4.0
2025-04-26,0.0,0.0,0.0,0.0,3.0
2025-04-27,0.0,0.0,0.0,0.0,1.0
2025-04-29,0.0,0.0,0.0,0.0,1.0
2025-04-30,0.0,0.0,0.0,0.0,1.0
2025-05-02,0.0,0.0,0.0,0.0,13.0
2025-05-03,0.0,0.0,0.0,0.0,1.0
2025-05-05,0.0,0.0,0.0,0.0,1.0
2025-05-06,0.0,0.0,0.0,0.0,2.0
2025-05-09,0.0,0.0,0.0,0.0,2.0
2025-05-10,0.0,0.0,0.0,0.0,2.0
2025-05-11,0.0,0.0,0.0,0.0,1.0
2025-05-12,0.0,0.0,0.0,0.0,1.0
2025-05-13,0.0,0.0,0.0,0.0,9.0
2025-05-14,0.0,0.0,0.0,0.0,6.0
2025-05-15,0.0,0.0,0.0,0.0,5.0
2025-05-16,0.0,0.0,0.0,0.0,1.0
2025-05-17,0.0,0.0,0.0,0.0,1.0
2025-05-19,0.0,0.0,0.0,0.0,4.0
2025-05-21,0.0,0.0,0.0,0.0,2.0
2025-05-22,0.0,0.0,0.0,0.0,10.0
2025-05-23,0.0,0.0,0.0,0.0,4.0
2025-05-24,0.0,0.0,0.0,0.0,1.0
2025-05-25,0.0,0.0,0.0,0.0,1.0
2025-05-27,0.0,0.0,0.0,0.0,1.0
2025-05-28,0.0,0.0,0.0,0.0,1.0
2025-05-30,0.0,0.0,0.0,0.0,1.0
2025-05-31,0.0,0.0,0.0,0.0,1.0
2025-06-03,0.0,0.0,0.0,0.0,25.0
2025-06-04,0.0,0.0,0.0,0.0,1.0
2025-06-06,0.0,0.0,0.0,0.0,2.0
2025-06-07,0.0,0.0,0.0,0.0,1.0
2025-06-08,0.0,0.0,0.0,0.0,4.0
2025-06-09,0.0,0.0,0.0,0.0,2.0
2025-06-11,0.0,0.0,0.0,0.0,1.0
2025-06-13,0.0,0.0,0.0,0.0,1.0
2025-06-15,0.0,0.0,0.0,0.0,1.0
2025-06-16,0.0,0.0,0.0,0.0,4.0
2025-06-17,0.0,0.0,0.0,0.0,1.0
2025-06-20,0.0,0.0,0.0,0.0,6.0
2025-06-21,0.0,0.0,0.0,0.0,1.0
2025-06-23,0.0,0.0,0.0,0.0,1.0
2025-06-24,0.0,0.0,0.0,0.0,1.0
2025-06-25,0.0,0.0,0.0,0.0,1.0
2025-06-29,0.0,0.0,0.0,0.0,1.0
2025-06-30,0.0,0.0,0.0,0.0,3.0
2025-07-01,0.0,0.0,0.0,0.0,2.0
2025-07-02,0.0,0.0,0.0,0.0,3.0
2025-07-03,0.0,0.0,0.0,0.0,2.0
2025-07-05,0.0,0.0,0.0,0.0,2.0
2025-07-06,0.0,0.0,0.0,0.0,1.0
2025-07-07,0.0,0.0,0.0,0.0,1.0
2025-07-08,0.0,0.0,0.0,0.0,1.0
2025-07-10,0.0,0.0,0.0,0.0,3.0
2025-07-12,0.0,0.0,0.0,0.0,1.0
2025-07-13,0.0,0.0,0.0,0.0,2.0
2025-07-14,0.0,0.0,0.0,0.0,1.0
2025-07-16,0.0,0.0,0.0,0.0,6.0
2025-07-17,0.0,0.0,0.0,0.0,3.0
2025-07-18,0.0,0.0,0.0,0.0,8.0
2025-07-20,0.0,0.0,0.0,0.0,9.0
2025-07-21,0.0,0.0,0.0,0.0,2.0
2025-07-22,0.0,0.0,0.0,0.0,1.0
2025-07-23,0.0,0.0,0.0,0.0,1.0
2025-07-25,0.0,0.0,0.0,0.0,1.0
2025-07-29,0.0,0.0,0.0,0.0,5.0
2025-07-30,0.0,0.0,0.0,0.0,80.0
2025-07-31,0.0,0.0,0.0,0.0,20.0
2025-08-03,0.0,0.0,0.0,0.0,5.0
2025-08-04,0.0,0.0,0.0,0.0,2.0
2025-08-05,0.0,0.0,0.0,0.0,11.0
2025-08-06,0.0,0.0,0.0,0.0,1.0
2025-08-07,0.0,0.0,0.0,0.0,1.0
2025-08-08,0.0,0.0,0.0,0.0,1.0
2025-08-10,0.0,0.0,0.0,0.0,9.0
2025-08-11,0.0,0.0,0.0,0.0,11.0
2025-08-17,0.0,0.0,0.0,0.0,1.0
2025-08-18,0.0,0.0,0.0,0.0,2.0
2025-08-20,0.0,0.0,0.0,0.0,3.0
2025-08-21,0.0,0.0,0.0,0.0,4.0
2025-08-22,0.0,0.0,0.0,0.0,6.0
2025-08-27,0.0,0.0,0.0,0.0,1.0
2025-08-29,0.0,0.0,0.0,0.0,1.0
2025-08-31,0.0,0.0,0.0,0.0,2.0
2025-09-01,20.0,24.0,2.0,2.0,11.0
2025-09-02,3.0,6.0,0.0,0.0,21.0
2025-09-03,0.0,1.0,3.0,0.0,5.0
2025-09-04,2.0,5.0,1.0,0.0,8.0
2025-09-05,0.0,1.0,0.0,0.0,5.0
2025-09-06,1.0,2.0,0.0,0.0,2.0
2025-09-08,0.0,1.0,0.0,0.0,1.0
2025-09-09,0.0,2.0,0.0,0.0,6.0
2025-09-10,0.0,0.0,0.0,0.0,1.0
2025-09-11,0.0,0.0,0.0,0.0,2.0
2025-09-12,0.0,0.0,0.0,0.0,2.0
2025-09-13,0.0,4.0,0.0,0.0,3.0
2025-09-15,0.0,1.0,0.0,0.0,0.0
2025-09-16,0.0,1.0,0.0,0.0,0.0
2025-09-18,0.0,2.0,0.0,0.0,2.0
2025-09-22,0.0,0.0,0.0,0.0,1.0
2025-09-23,0.0,0.0,0.0,0.0,1.0
2025-09-24,0.0,0.0,0.0,0.0,2.0
2025-09-25,0.0,2.0,0.0,0.0,0.0
2025-09-28,0.0,1.0,0.0,0.0,0.0
2025-09-29,0.0,1.0,0.0,0.0,0.0
2025-09-30,2.0,6.0,0.0,0.0,0.0
2025-10-01,10.0,13.0,1.0,0.0,0.0
2025-10-02,2.9,7.500000000000001,0.0,0.0,0.9
2025-10-04,0.0,0.0,0.0,0.0,1.8
2025-10-07,0.0,0.0,0.0,0.7,0.0
2025-10-08,0.0,0.8,0.0,0.0,0.0
2025-10-09,0.0,1.0,0.0,0.0,0.0
2025-10-10,1.4,10.100000000000001,0.0,0.0,0.9
2025-10-11,1.6,1.6,0.0,0.0,0.0
2025-10-12,0.0,0.0,0.0,0.0,0.8
2025-10-13,0.0,1.6,0.0,0.0,0.0
2025-10-15,0.6,0.8,0.0,0.0,0.0
2025-10-16,0.0,0.0,0.0,0.0,0.9
2025-10-17,0.0,0.0,0.0,0.0,1.8
2025-10-19,0.0,0.0,0.0,0.0,0.9
2025-10-20,0.0,0.6,0.0,0.0,0.0
2025-10-22,0.0,0.0,0.0,0.0,2.6
2025-10-26,0.0,0.7,0.0,0.0,0.0
2025-10-27,0.0,1.6,0.0,0.0,0.9
2025-10-28,0.6,3.0000000000000004,0.0,0.0,0.0
2025-10-29,3.1000000000000005,0.0,0.0,0.0,0.0
2025-10-30,2.2,0.0,0.0,0.0,0.8
2025-10-31,0.0,0.8,0.0,0.0,0.0
2025-11-01,0.0,0.0,0.0,0.0,0.9
2025-11-02,3.0,1.0,0.7,0.0,0.0
2025-11-03,8.9,9.600000000000001,1.9,0.0,9.000000000000002
2025-11-04,0.0,0.9,0.0,0.0,2.7
2025-11-05,0.0,0.0,0.0,0.0,0.8
2025-11-06,0.0,0.0,0.0,0.0,0.9
2025-11-08,0.0,0.0,0.0,0.9,0.9
2025-11-09,0.0,0.9,0.0,0.0,0.0
2025-11-11,0.0,0.0,0.0,0.0,0.9
2025-11-12,0.0,2.7,0.0,0.0,0.0
2025-11-13,0.0,4.5,0.0,0.0,0.0
2025-11-14,0.0,0.9,0.9,0.0,0.0
2025-11-21,4.5,6.300000000000001,0.0,0.0,0.0
2025-11-22,0.0,0.9,0.0,0.0,0.0
2025-11-27,0.0,0.9,0.0,0.0,0.0
2025-11-29,0.0,0.9,0.0,0.0,0.0
2025-12-08,0.0,19.799999999999997,0.0,0.9,0.7
