,summary,Impacts,Hazard,Mitigation,Causes,word
summaryOfAllWords,912455.4975494741,225087.68716005594,221310.4504080757,258166.98870758712,207890.37127156716,
Israel,51.004447111674665,0.020011169350061694,-0.00967122237453193,-0.003464236417726827,-0.007371394322895474,Israel
löst,218.56798477398144,-0.017367471073734302,0.00026640603277267906,0.01656494019021609,-0.0023870383690021077,löst
israel lös+t,9.528052559458775,-0.009877581936032298,0.0061854576004440566,-0.010715142721646769,0.01712488740905151,israel lös+t
Bombe,12.019322508963173,-0.010906117695891625,0.0054213958249100455,-0.007272906238104181,0.014845402893357937,Bombe
lös+t bombe,12.019322508963173,-0.010906117695891625,0.0054213958249100455,-0.007272906238104181,0.014845402893357937,lös+t bombe
Erdbeben,52227.03900211945,-0.019328690875143963,-0.0022653189080599065,0.025151896671130256,-0.008531604244987435,Erdbeben
bombe erdbeben,17.058755721428387,-0.012204667437515842,0.004376007778233284,-0.002684016907251135,0.011724910235417989,bombe erdbeben
Dort,60.75978896066503,0.013562158058343175,-0.012136200566619973,0.01605253086823195,-0.022284565133287183,Dort
erdbeben dort,9.357690405879621,-0.009790822766513977,0.006247319584429168,-0.010997630903069534,0.017309417666535723,erdbeben dort
wurden,879.801946028143,0.014787133453151777,-0.013919206852605408,0.014935142426511033,-0.02030527988651122,wurden
dort werd+en,8.659609255216829,-0.009405268449341891,0.006517442808364023,-0.012238360833318885,0.018115149582499362,dort werd+en
Boden-Boden-Raketen,7.962875054535852,-0.00896316155626225,0.0068177212555109125,-0.013632079028261152,0.01901079829898442,Boden-Boden-Raketen
werd+en boden+-+boden+-+rakete+n,7.962875054535852,-0.00896316155626225,0.0068177212555109125,-0.013632079028261152,0.01901079829898442,werd+en boden+-+boden+-+rakete+n
gelagert,6.793935340969428,-0.008045556840360273,0.007409954592733285,-0.016429442785874535,0.02077729989727267,gelagert
boden+-+boden+-+rakete+n ge+lager+t,6.793935340969428,-0.008045556840360273,0.007409954592733285,-0.016429442785874535,0.02077729989727267,boden+-+boden+-+rakete+n ge+lager+t
Ein,4344.263521154961,-0.020078726023698527,0.019770452917425792,0.014513118826707822,-0.01804957563607081,Ein
ge+lager+t ein,6.428102867213438,-0.0076975704715882935,0.007624119996078036,-0.01745813318589282,0.02141615749667949,ge+lager+t ein
israelischer,10.016916212121238,-0.01011265353247969,0.006015834549961139,-0.009943619478926882,0.016618896615452034,israelischer
ein israelisch+er,10.016916212121238,-0.01011265353247969,0.006015834549961139,-0.009943619478926882,0.016618896615452034,ein israelisch+er
Angriff,26.99754582342316,-0.018134337957001465,0.0172741948207147,-0.0021885205876665407,0.003616728163262547,Angriff
israelisch+er angriff,9.399114275011648,-0.009812163079344913,0.006232140220931697,-0.010928259538997696,0.017264138879726092,israelisch+er angriff
Militärstandorte,9.760087821240852,-0.009991623710218613,0.006103534849586642,-0.01034196902921362,0.016880512511711705,Militärstandorte
